,Gestational,No Diabetes,Pre-Diabetes,Type 1,Type 2
Gestational,0,8,24,0,21
No Diabetes,0,1538,1,0,9
Pre-Diabetes,0,0,6189,0,14
Type 1,0,4,14,0,5
Type 2,0,268,1288,0,10077
